
******************************************************************
ForwardingUnit      :        ForwardA      | 00
ForwardingUnit      :        ForwardB      | 00

Clock               :          Clock       | 1
Stage IF:           :           PC         | 00000000000000000000000000000000
Stage IF:           :         PC + 4       | 00000000000000000000000000000100
Stage IF:           :       Instruction    | 00000001000010011000000000100000

Stage ID: IF|ID OUT :         PC + 4       | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage ID: IF|ID OUT :       Instruction    | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage ID:           :       Read Data 1    | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage ID:           :       Read Data 2    | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage ID:           :       Sign Extend    | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage ID:           :            RS        | xxxxx
Stage ID:           :            RT        | xxxxx
Stage ID:           :            RD        | xxxxx
Stage ID:           :    C_Signal RegDst   | x
Stage ID:           :    C_Signal ALUSrc   | x
Stage ID:           :    C_Signal MemtoReg | x
Stage ID:           :    C_Signal RegWrite | x
Stage ID:           :    C_Signal MemRead  | x
Stage ID:           :    C_Signal MemWrite | x
Stage ID:           :    C_Signal Branch   | x
Stage ID:           :    C_Signal ALUOp    | xx

Stage EX:           :         PC + 4       | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage EX:           :       ReadData1      | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage EX:           :       ReadData2      | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage EX:           :       SignExtend     | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage EX:           :           RS         | xxxxx
Stage EX:           :           RT         | xxxxx
Stage EX:           :           RD         | xxxxx
Stage EX:           :           SLL        | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Stage EX:           :       Branch ALU     | xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
